token,count,example
non-arbitrator,1,"Solomorne's face turns lifeless, his knuckles white. ""I thought my wholehearted loyalty to the Lex was obvious. But you were monitoring me, keeping tabs on me l"
softheartedness,1,"""Lord Molles, deemed to be alive, committed a transgression of softheartedness in running his family enterprise. He released all his convicted workers and termi"
statics,1,"The cardinal's voice is clearly heard over the whispering statics. ""I begged, I implored... But you did not listen! Oh, how they pleaded, how they cried out to "
chronometry,1,"""Due to recent suspicions of the heresy of concealing the sacred tithe, an emergency inspection has been initiated. Until said inspection is complete, the tithe"
accused's,1,"The prefect sighs heavily. ""I shouldn't have even tried to hear you out, Rogue Trader..."" She gives a nod to the Arbitrators, signalling them to escort you to t"
century-old,1,"The prefect gives you a different look from before, and the century-old weariness in her eyes dissipates for just a moment. There is surprise and piqued curiosi"
de-emphasised,1,"""All I did was provide a summary of the results of your expedition — a summary stripped of dubious attributes such as declarations of good intentions and de-emp"
thrill-seeking,1,"Vultur sighs. ""Not everyone is driven by greed and thrill-seeking, Rogue Trader. I see your position has clouded your mind... Regrettable, but unsurprising — wi"
spousehood,1,"""Cassia's perspective on marriage in the Imperium is correct. Lady Molles-Secundas may stay with her new husband, but she shall return the family business to Lo"
molles's,1,"""Allow me to guess the details of Lord Molles's kidnapping: the pirates appeared out of nowhere, knew exactly when to attack, at which point his wife had alread"
vox-amplified,1,"Inscribia Vultur's dreary, vox-amplified voice carries across the hall. ""The court will now hear Case DP-1453/2, the Doleful Host against the Astropathic Choir "
sainted,1,"""It will doubtless be the cardinal's most passionate adherents who follow him on that perilous journey, wishing to see him sainted. I suppose that would minimis"
saint-killer,1,"You devise an elegant rendering of the sentence, one that will convince everyone that you are in the right, and save you from being branded a saint-killer. All "
all-but-canonised,1,"You devise an elegant rendering of the sentence, one that will convince everyone that you are in the right, and save you from being branded a saint-killer. All "
sainting,1,"""According to the Lex Imperialis, a candidate saint may personally challenge their sainting by petitioning the Ecclesiarch on Holy Terra. Sidestepping the head "
molleses,1,"The prefect looks at you and then the Interrogator with slight alarm. ""No... contradictions found. I imagine the younger Molleses are going to hand the reins of"
sang-froid,1,"""If Lady Molles-Secundas is right, then her children are the impostor's accomplices and are guilty of defaming the authenticity of Administratum documents."" Now"
anvylas's,1,"""Situation analysis complete. Let the paradox cease; let functionality triumph. Suggestion: use the unit Cardinal Anvylas's organic remains to construct a servo"
dustup,1,"""How could the woman have possibly known for sure her husband would make it out of a major dustup like that? The business had ground to a halt, so she took thin"
profoundness,1,"It is highly unlikely that such an artefact actually exists — judging by the design of the device, it is nothing more than a set of regular albeit enormous and "
lawmonger,1,"""I have not the strength to attempt something like this again."" Vultur sounds tired and... sincere, like you have caught a glimpse of the woman this lawmonger o"
undersuit,1,"Strachs sets his shield down, detaches his carapace, and places it over the shield. Now clad only in his undersuit uniform, he looks smaller without his armour,"
cyber-horror,1,"""Lord Cap'n, I beg you to look into this outrage! This cyber-horror nearly chewed up my assistants — and one of them's been left without two of his fingers. Ins"
long-haired,1,"The long-haired voidsman flinches when you address him. ""Your Lordship, the governor of Helvica Prime was a scumbag who abhorred the light of the God-Emperor — "
grox-damned,1,"Vigdis presses her hands together. ""Reports of fugitive criminals, which number in the hundreds, are of low priority. What's more, I know that Lord Captain Theo"
contrib,1,"""It will take time... a great deal of time... and will require considerable financial contrib—"" Danrok stops short under your gaze."
cultism,1,"""We do draw a line, however, at even a whisper of genuine heresy in a voidfarer's past."" Vigdis raises her gaze to you. ""I'm sure you realise, Lord Captain, tha"
brutalisation,1,"""Every believer in the God-Emperor practices the rites in accordance with their own understanding and the established canons. But out of respect and the obligat"
canid,1,"""It is rather curious that your cyber-mastiff's model does not entirely conform to classic templates and contains a high percentage of organics. In your opinion"
complementarity,1,"""So your refusal is categorical? How regrettable! The complementarity of your personality with your current post carries an inconceivably positive coefficient a"
ice-bound,1,"""In the ice-bound lake of tears, you will find what has been lost, but will you find peace? Death has a single eye that watches from the darkness of the ages, b"
rubedo,1,"""There is much knowledge, Lady Navigator, that should not confuse and disturb inquisitive young minds. The rubedo you behold is but a fragment of the past that "
even-numbered,1,"""To continue our conversation about poetry, noble Astartes. I have analysed the verse form recorded from your words and, with the help of Nuncius, slightly corr"
odd-numbered,1,"""To continue our conversation about poetry, noble Astartes. I have analysed the verse form recorded from your words and, with the help of Nuncius, slightly corr"
ho-ho,1,"""Ho-ho! Iron sage, beneath your swollen shell lies a soul brimming with the mjod of poetry! You have painstakingly righted the flaws in my verse instead of slyl"
skilfulness,1,"""Nuncius, have you ever seen such masterpieces of architecture before? The mere sight makes me wonder at the mightiness of the mind that could conceive of such "
tastings,1,"""By my determination, the local recreational customs are primitive, but intriguing. However, ingesting such toxins is not the most effective approach to calming"
xenocell,1,"""On the one hand, we can now observe xenocell development under close to native conditions. On the other hand, we are dealing with extremely dangerous genetic p"
xenotechnical,1,"""What most interests me is how a layperson managed to attain such deep understanding of xenotechnical secrets. If he wrought such a thing himself, his brain is "
psychophysiological,1,"""The probability of finding an individual with similar psychophysiological characteristics is close to zero — no, less than zero. In other words, it would be ea"
vox-archive,1,"""The remark has been logged by Nuncius and committed to the long-term vox-archive. The hypothesis about Magos Haneumann's ability to understand and apply humour"
data-hygiene,1,"""The overt study of artefacts of xenotic origin is deemed a malign breach of data-hygiene restrictions. I demand the immediate seizure and subsequent isolation "
recommissioned,1,"""The machines can be purified and recommissioned, but the losses among the servants of the Cult Mechanicus are irrecoverable. I grieve, not for the machines, bu"
xenological,1,"""I never imagined that a specimen of one of the most dangerous galactic species would voluntarily join the Rogue Trader's retinue. Nuncius, you are familiar wit"
non-laboratory,1,"""I am delighted to see you returned, colleague. The lack of fiery debate has dulled my wits and left my mind unsettled. At Nuncius's insistence, I also encourag"
tech-violation,1,"""The hypothetical act of concern on the part of the servo-skull 'Nuncius' is attested. The request for surgical intervention is categorically rejected, as the p"
predation,1,"""The simple logic of primitive predation. The more dangerous the rival, the stronger the imperative to eliminate it. I had time to carefully study the Haemoncul"
vox-scribes,1,"""Consequently, we have a most dangerous entanglement of the real with the unreal ahead of us, requiring extreme caution. Nuncius, shield the external vox-scribe"
narrow-mindedness,1,"""A combination of factors, I am inclined to believe. The failing of narrow-mindedness is a characteristic of many Magi and Archmagi, leading to unpredictable an"
archmagi,1,"""A combination of factors, I am inclined to believe. The failing of narrow-mindedness is a characteristic of many Magi and Archmagi, leading to unpredictable an"
close-lipped,1,"""Please excuse my close-lipped colleague. This is Nuncius's first time conducting a dialogue with a member of the Adeptus Astartes, and as such, he is somewhat."
